route_id,time_category,counts,counts_average,time_category_duration,frequency,route_no
80,peak_2,2,2,240,120,R55DOWN
81,non_peak_1,1,1,480,480,R55UP
81,non_peak_2,3,3,300,100,R55UP
81,peak_1,2,2,240,120,R55UP
81,peak_2,1,1,240,240,R55UP
82,non_peak_1,1,1,480,480,R56DOWN
82,non_peak_2,2,2,300,150,R56DOWN
82,peak_1,2,2,240,120,R56DOWN
82,peak_2,1,1,240,240,R56DOWN
83,non_peak_1,1,1,480,480,R56UP
83,non_peak_2,3,3,300,100,R56UP
83,peak_1,2,2,240,120,R56UP
84,non_peak_1,2,2,480,240,R57DOWN
84,non_peak_2,7,7,300,43,R57DOWN
84,peak_1,6,6,240,40,R57DOWN
84,peak_2,4,4,240,60,R57DOWN
85,non_peak_1,3,3,480,160,R57UP
85,non_peak_2,6,6,300,50,R57UP
85,peak_1,6,6,240,40,R57UP
85,peak_2,3,3,240,80,R57UP
86,non_peak_2,2,2,300,150,R58DOWN
86,peak_1,3,3,240,80,R58DOWN
86,peak_2,2,2,240,120,R58DOWN
87,non_peak_2,3,3,300,100,R58UP
87,peak_1,3,3,240,80,R58UP
87,peak_2,1,1,240,240,R58UP
88,non_peak_2,3,3,300,100,R5DOWN
88,peak_1,3,3,240,80,R5DOWN
88,peak_2,2,2,240,120,R5DOWN
89,non_peak_1,2,2,480,240,R5UP
89,non_peak_2,3,3,300,100,R5UP
89,peak_1,2,2,240,120,R5UP
89,peak_2,1,1,240,240,R5UP
90,non_peak_1,2,2,480,240,R60DOWN
90,non_peak_2,5,5,300,60,R60DOWN
90,peak_1,5,5,240,48,R60DOWN
90,peak_2,6,6,240,40,R60DOWN
91,non_peak_1,2,2,480,240,R60UP
91,non_peak_2,5,5,300,60,R60UP
91,peak_1,5,5,240,48,R60UP
91,peak_2,6,6,240,40,R60UP
92,non_peak_1,1,1,480,480,R6DOWN
92,non_peak_2,2,2,300,150,R6DOWN
92,peak_1,4,4,240,60,R6DOWN
92,peak_2,3,3,240,80,R6DOWN
93,non_peak_2,3,3,300,100,R6UP
93,peak_1,1,1,240,240,R6UP
93,peak_2,1,1,240,240,R6UP
94,non_peak_1,2,2,480,240,R7DOWN
