route_no,route_id,time_category,counts,counts_average,time_category_duration,frequency
295RING,477,peak_1,4,4,240,60
295RING,477,peak_2,4,4,240,60
296ADOWN,480,non_peak_1,1,1,480,480
296ADOWN,480,non_peak_2,1,1,300,300
296ADOWN,480,peak_1,1,1,240,240
296AUP,481,non_peak_2,1,1,300,300
296AUP,481,peak_1,1,1,240,240
296AUP,481,peak_2,1,1,240,240
296DOWN,478,non_peak_1,2,2,480,240
296DOWN,478,non_peak_2,3,3,300,100
296DOWN,478,peak_1,2,2,240,120
296DOWN,478,peak_2,3,3,240,80
296UP,479,non_peak_1,1,1,480,480
296UP,479,non_peak_2,3,3,300,100
296UP,479,non_peak_3,1,1,180,180
296UP,479,peak_1,3,3,240,80
296UP,479,peak_2,2,2,240,120
297DOWN,482,non_peak_1,1,1,480,480
297DOWN,482,non_peak_2,2,2,300,150
297DOWN,482,peak_1,2,2,240,120
297DOWN,482,peak_2,2,2,240,120
297UP,483,non_peak_1,1,1,480,480
297UP,483,non_peak_2,2,2,300,150
297UP,483,non_peak_3,1,1,180,180
297UP,483,peak_1,1,1,240,240
297UP,483,peak_2,2,2,240,120
298ADOWN,486,non_peak_1,9,9,480,54
298ADOWN,486,non_peak_2,9,9,300,34
298AUP,487,non_peak_2,7,7,300,43
298AUP,487,non_peak_3,5,5,180,36
298AUP,487,peak_1,2,2,240,120
298AUP,487,peak_2,4,4,240,60
298DOWN,484,non_peak_1,2,2,480,240
298DOWN,484,non_peak_2,11,11,300,28
298DOWN,484,non_peak_3,6,6,180,30
298DOWN,484,peak_1,17,17,240,15
298DOWN,484,peak_2,18,18,240,14
298UP,485,non_peak_1,11,11,480,44
298UP,485,non_peak_2,13,13,300,24
298UP,485,peak_1,16,16,240,15
298UP,485,peak_2,14,14,240,18
299DOWN,488,non_peak_1,9,9,480,54
299DOWN,488,non_peak_2,19,19,300,16
299DOWN,488,non_peak_3,4,4,180,45
299DOWN,488,peak_1,17,17,240,15
299DOWN,488,peak_2,15,15,240,16
299UP,489,non_peak_1,10,10,480,48
299UP,489,non_peak_2,20,20,300,15
299UP,489,non_peak_3,3,3,180,60
299UP,489,peak_1,16,16,240,15
299UP,489,peak_2,15,15,240,16
29ADOWN,490,non_peak_2,2,2,300,150
29ADOWN,490,non_peak_3,1,1,180,180
29ADOWN,490,peak_1,1,1,240,240
29AUP,491,non_peak_1,1,1,480,480
29AUP,491,non_peak_2,1,1,300,300
29AUP,491,peak_1,1,1,240,240
29AUP,491,peak_2,1,1,240,240
29DOWN,456,non_peak_1,7,7,480,69
29DOWN,456,non_peak_2,19,19,300,16
29DOWN,456,non_peak_3,10,10,180,18
29DOWN,456,peak_1,15,15,240,16
29DOWN,456,peak_2,15,15,240,16
29UP,457,non_peak_1,11,11,480,44
29UP,457,non_peak_2,19,19,300,16
29UP,457,non_peak_3,6,6,180,30
29UP,457,peak_1,15,15,240,16
29UP,457,peak_2,14,14,240,18
2ADOWN,492,non_peak_1,3,3,480,160
2ADOWN,492,non_peak_2,10,10,300,30
2ADOWN,492,non_peak_3,3,3,180,60
2ADOWN,492,peak_1,8,8,240,30
2ADOWN,492,peak_2,8,8,240,30
2AUP,493,non_peak_1,5,5,480,96
2AUP,493,non_peak_2,11,11,300,28
2AUP,493,non_peak_3,1,1,180,180
2AUP,493,peak_1,7,7,240,35
2AUP,493,peak_2,8,8,240,30
2BDOWN,1070,non_peak_1,4,4,480,120
2BDOWN,1070,non_peak_2,10,10,300,30
2BDOWN,1070,non_peak_3,5,5,180,36
2BDOWN,1070,peak_1,8,8,240,30
2BDOWN,1070,peak_2,8,8,240,30
2BRING,494,non_peak_1,13,13,480,37
2BRING,494,non_peak_2,24,24,300,13
2BRING,494,non_peak_3,10,10,180,18
2BRING,494,peak_1,19,19,240,13
2BRING,494,peak_2,18,18,240,14
2BUP,1071,non_peak_1,4,4,480,120
2BUP,1071,non_peak_2,10,10,300,30
2BUP,1071,non_peak_3,5,5,180,36
2BUP,1071,peak_1,8,8,240,30
2BUP,1071,peak_2,8,8,240,30
2DOWN,315,non_peak_1,8,8,480,60
2DOWN,315,non_peak_2,27,27,300,12
2DOWN,315,non_peak_3,14,14,180,13
2DOWN,315,peak_1,30,30,240,8
2DOWN,315,peak_2,26,26,240,10
2UP,316,non_peak_1,12,12,480,40
2UP,316,non_peak_2,27,27,300,12
2UP,316,non_peak_3,10,10,180,18
2UP,316,peak_1,30,30,240,8
2UP,316,peak_2,26,26,240,10
301ADOWN,502,non_peak_1,5,5,480,96
301ADOWN,502,non_peak_2,8,8,300,38
301ADOWN,502,non_peak_3,5,5,180,36
301ADOWN,502,peak_1,6,6,240,40
301ADOWN,502,peak_2,6,6,240,40
301AUP,503,non_peak_1,5,5,480,96
301AUP,503,non_peak_2,7,7,300,43
301AUP,503,non_peak_3,4,4,180,45
301AUP,503,peak_1,7,7,240,35
301AUP,503,peak_2,7,7,240,35
301CDOWN,498,non_peak_2,2,2,300,150
301CUP,499,non_peak_2,3,3,300,100
301CUP,499,non_peak_3,2,2,180,90
301CUP,499,peak_2,1,1,240,240
301DOWN,500,non_peak_1,17,17,480,29
301DOWN,500,non_peak_2,26,26,300,12
301DOWN,500,non_peak_3,9,9,180,20
301DOWN,500,peak_1,19,19,240,13
301DOWN,500,peak_2,19,19,240,13
301MDOWN,1014,non_peak_2,1,1,300,300
301MDOWN,1014,peak_1,3,3,240,80
301MDOWN,1014,peak_2,2,2,240,120
301MUP,1015,non_peak_2,2,2,300,150
301MUP,1015,peak_1,3,3,240,80
301MUP,1015,peak_2,1,1,240,240
301UP,501,non_peak_1,12,12,480,40
301UP,501,non_peak_2,26,26,300,12
301UP,501,non_peak_3,14,14,180,13
301UP,501,peak_1,19,19,240,13
301UP,501,peak_2,19,19,240,13
302ADOWN,506,peak_1,2,2,240,120
302ADOWN,506,peak_2,2,2,240,120
302AUP,507,non_peak_1,1,1,480,480
302AUP,507,non_peak_2,1,1,300,300
302AUP,507,peak_1,1,1,240,240
302AUP,507,peak_2,1,1,240,240
302BDOWN,508,non_peak_2,1,1,300,300
302BDOWN,508,peak_1,2,2,240,120
302BDOWN,508,peak_2,1,1,240,240
302BUP,509,non_peak_1,1,1,480,480
302BUP,509,non_peak_2,1,1,300,300
302BUP,509,peak_1,1,1,240,240
302BUP,509,peak_2,1,1,240,240
302DOWN,504,non_peak_1,5,5,480,96
302DOWN,504,non_peak_2,17,17,300,18
302DOWN,504,non_peak_3,2,2,180,90
302DOWN,504,peak_1,17,17,240,15
302DOWN,504,peak_2,13,13,240,19
302UP,505,non_peak_1,8,8,480,60
302UP,505,non_peak_2,16,16,300,19
302UP,505,non_peak_3,2,2,180,90
302UP,505,peak_1,17,17,240,15
302UP,505,peak_2,15,15,240,16
303ADOWN,512,non_peak_2,1,1,300,300
303ADOWN,512,peak_1,2,2,240,120
303ADOWN,512,peak_2,2,2,240,120
303AUP,513,non_peak_2,1,1,300,300
303AUP,513,peak_1,3,3,240,80
303AUP,513,peak_2,1,1,240,240
303DOWN,510,non_peak_1,5,5,480,96
303DOWN,510,non_peak_2,11,11,300,28
303DOWN,510,non_peak_3,3,3,180,60
303DOWN,510,peak_1,11,11,240,22
303DOWN,510,peak_2,11,11,240,22
303JDOWN,514,non_peak_1,4,4,480,120
303JDOWN,514,non_peak_2,10,10,300,30
303JDOWN,514,non_peak_3,5,5,180,36
303JDOWN,514,peak_1,8,8,240,30
303JDOWN,514,peak_2,8,8,240,30
303JUP,515,non_peak_1,4,4,480,120
303JUP,515,non_peak_2,10,10,300,30
303JUP,515,non_peak_3,5,5,180,36
303JUP,515,peak_1,8,8,240,30
303JUP,515,peak_2,8,8,240,30
303SDOWN,516,non_peak_1,4,4,480,120
303SDOWN,516,non_peak_2,10,10,300,30
303SDOWN,516,non_peak_3,5,5,180,36
303SDOWN,516,peak_1,8,8,240,30
303SDOWN,516,peak_2,8,8,240,30
303SUP,517,non_peak_1,4,4,480,120
303SUP,517,non_peak_2,10,10,300,30
303SUP,517,non_peak_3,5,5,180,36
303SUP,517,peak_1,8,8,240,30
303SUP,517,peak_2,8,8,240,30
303UP,511,non_peak_1,6,6,480,80
303UP,511,non_peak_2,12,12,300,25
303UP,511,non_peak_3,1,1,180,180
303UP,511,peak_1,11,11,240,22
303UP,511,peak_2,11,11,240,22
304DOWN,518,non_peak_1,12,12,480,40
304DOWN,518,non_peak_2,30,30,300,10
304DOWN,518,non_peak_3,8,8,180,23
304DOWN,518,peak_1,23,23,240,11
304DOWN,518,peak_2,20,20,240,12
304UP,519,non_peak_1,10,10,480,48
304UP,519,non_peak_2,29,29,300,11
304UP,519,non_peak_3,9,9,180,20
304UP,519,peak_1,22,22,240,11
304UP,519,peak_2,22,22,240,11
305ADOWN,520,non_peak_1,2,2,480,240
305ADOWN,520,non_peak_2,1,1,300,300
305ADOWN,520,peak_1,2,2,240,120
305ADOWN,520,peak_2,3,3,240,80
305AUP,521,non_peak_1,2,2,480,240
305AUP,521,non_peak_2,2,2,300,150
305AUP,521,peak_1,2,2,240,120
305AUP,521,peak_2,2,2,240,120
305BDOWN,522,non_peak_2,1,1,300,300
305BDOWN,522,peak_1,2,2,240,120
305BDOWN,522,peak_2,1,1,240,240
305BUP,523,non_peak_1,1,1,480,480
305BUP,523,non_peak_2,2,2,300,150
305BUP,523,peak_1,1,1,240,240
305DOWN,524,non_peak_1,5,5,480,96
305DOWN,524,non_peak_2,13,13,300,24
305DOWN,524,non_peak_3,5,5,180,36
305DOWN,524,peak_1,10,10,240,24
305DOWN,524,peak_2,9,9,240,27
305UP,525,non_peak_1,8,8,480,60
305UP,525,non_peak_2,13,13,300,24
305UP,525,non_peak_3,3,3,180,60
305UP,525,peak_1,10,10,240,24
305UP,525,peak_2,8,8,240,30
306ADOWN,528,peak_1,2,2,240,120
306ADOWN,528,peak_2,2,2,240,120
306AUP,529,non_peak_1,1,1,480,480
306AUP,529,non_peak_2,1,1,300,300
306AUP,529,peak_1,1,1,240,240
306AUP,529,peak_2,1,1,240,240
306DOWN,526,non_peak_1,1,1,480,480
306DOWN,526,non_peak_2,5,5,300,60
306DOWN,526,non_peak_3,1,1,180,180
306DOWN,526,peak_1,8,8,240,30
306DOWN,526,peak_2,7,7,240,35
306UP,527,non_peak_1,3,3,480,160
306UP,527,non_peak_2,4,4,300,75
306UP,527,peak_1,10,10,240,24
306UP,527,peak_2,6,6,240,40
307DOWN,530,non_peak_1,1,1,480,480
307DOWN,530,non_peak_2,2,2,300,150
307DOWN,530,peak_1,3,3,240,80
307DOWN,530,peak_2,2,2,240,120
307UP,531,non_peak_1,1,1,480,480
307UP,531,non_peak_2,2,2,300,150
307UP,531,peak_1,3,3,240,80
307UP,531,peak_2,2,2,240,120
308DOWN,532,non_peak_1,3,3,480,160
308DOWN,532,non_peak_2,4,4,300,75
308DOWN,532,non_peak_3,1,1,180,180
308DOWN,532,peak_1,8,8,240,30
308DOWN,532,peak_2,7,7,240,35
308UP,533,non_peak_1,4,4,480,120
308UP,533,non_peak_2,5,5,300,60
308UP,533,non_peak_3,1,1,180,180
308UP,533,peak_1,7,7,240,35
308UP,533,peak_2,6,6,240,40
309DOWN,534,non_peak_1,5,5,480,96
309DOWN,534,non_peak_2,26,26,300,12
309DOWN,534,non_peak_3,9,9,180,20
309DOWN,534,peak_1,16,16,240,15
309DOWN,534,peak_2,18,18,240,14
309UP,535,non_peak_1,9,9,480,54
309UP,535,non_peak_2,22,22,300,14
309UP,535,non_peak_3,3,3,180,60
309UP,535,peak_1,21,21,240,12
309UP,535,peak_2,19,19,240,13
30DOWN,496,non_peak_1,3,3,480,160
30DOWN,496,non_peak_2,8,8,300,38
30DOWN,496,non_peak_3,3,3,180,60
30DOWN,496,peak_1,7,7,240,35
30DOWN,496,peak_2,7,7,240,35
30UP,497,non_peak_1,6,6,480,80
30UP,497,non_peak_2,8,8,300,38
30UP,497,non_peak_3,1,1,180,180
30UP,497,peak_1,7,7,240,35
30UP,497,peak_2,6,6,240,40
311DOWN,538,non_peak_1,1,1,480,480
311DOWN,538,non_peak_2,3,3,300,100
311DOWN,538,peak_1,2,2,240,120
311DOWN,538,peak_2,2,2,240,120
311UP,539,non_peak_1,1,1,480,480
311UP,539,non_peak_2,3,3,300,100
311UP,539,peak_1,2,2,240,120
311UP,539,peak_2,2,2,240,120
312ADOWN,540,non_peak_2,2,2,300,150
312ADOWN,540,non_peak_3,1,1,180,180
312ADOWN,540,peak_1,4,4,240,60
312ADOWN,540,peak_2,3,3,240,80
312AUP,541,non_peak_1,2,2,480,240
312AUP,541,non_peak_2,3,3,300,100
312AUP,541,peak_1,2,2,240,120
312AUP,541,peak_2,3,3,240,80
312DOWN,542,non_peak_1,3,3,480,160
312DOWN,542,non_peak_2,7,7,300,43
312DOWN,542,non_peak_3,4,4,180,45
312DOWN,542,peak_1,5,5,240,48
312DOWN,542,peak_2,4,4,240,60
312UP,543,non_peak_1,4,4,480,120
312UP,543,non_peak_2,6,6,300,50
312UP,543,non_peak_3,2,2,180,90
312UP,543,peak_1,6,6,240,40
312UP,543,peak_2,5,5,240,48
313BDOWN,544,non_peak_1,1,1,480,480
313BDOWN,544,peak_2,1,1,240,240
313BUP,545,non_peak_1,1,1,480,480
313BUP,545,peak_2,1,1,240,240
313CDOWN,546,non_peak_1,2,2,480,240
313CDOWN,546,peak_2,4,4,240,60
313CUP,547,non_peak_1,4,4,480,120
313CUP,547,non_peak_3,1,1,180,180
313CUP,547,peak_1,1,1,240,240
313CUP,547,peak_2,1,1,240,240
313DOWN,548,non_peak_1,3,3,480,160
313DOWN,548,non_peak_2,11,11,300,28
313DOWN,548,non_peak_3,3,3,180,60
313DOWN,548,peak_1,8,8,240,30
313DOWN,548,peak_2,7,7,240,35
313UP,549,non_peak_1,6,6,480,80
313UP,549,non_peak_2,11,11,300,28
313UP,549,peak_1,8,8,240,30
313UP,549,peak_2,7,7,240,35
314DOWN,550,non_peak_1,5,5,480,96
314DOWN,550,non_peak_2,11,11,300,28
314DOWN,550,non_peak_3,3,3,180,60
314DOWN,550,peak_1,12,12,240,20
314DOWN,550,peak_2,11,11,240,22
314UP,551,non_peak_1,8,8,480,60
314UP,551,non_peak_2,12,12,300,25
314UP,551,non_peak_3,1,1,180,180
314UP,551,peak_1,11,11,240,22
314UP,551,peak_2,10,10,240,24
315DOWN,552,non_peak_1,8,8,480,60
315DOWN,552,non_peak_2,19,19,300,16
315DOWN,552,non_peak_3,11,11,180,17
315DOWN,552,peak_1,17,17,240,15
315DOWN,552,peak_2,17,17,240,15
315UP,553,non_peak_1,14,14,480,35
315UP,553,non_peak_2,19,19,300,16
315UP,553,non_peak_3,6,6,180,30
315UP,553,peak_1,16,16,240,15
315UP,553,peak_2,17,17,240,15
316DOWN,554,non_peak_1,1,1,480,480
316DOWN,554,non_peak_2,1,1,300,300
316DOWN,554,peak_1,1,1,240,240
316DOWN,554,peak_2,1,1,240,240
316UP,555,non_peak_1,1,1,480,480
316UP,555,non_peak_2,1,1,300,300
316UP,555,peak_1,1,1,240,240
316UP,555,peak_2,1,1,240,240
317ADOWN,556,peak_2,1,1,240,240
317BDOWN,557,non_peak_2,1,1,300,300
317BDOWN,557,peak_1,1,1,240,240
317DOWN,558,non_peak_1,2,2,480,240
317DOWN,558,non_peak_2,6,6,300,50
317DOWN,558,non_peak_3,1,1,180,180
317DOWN,558,peak_1,6,6,240,40
317DOWN,558,peak_2,6,6,240,40
317UP,559,non_peak_1,4,4,480,120
317UP,559,non_peak_2,7,7,300,43
317UP,559,peak_1,5,5,240,48
317UP,559,peak_2,6,6,240,40
31ADOWN,1016,non_peak_1,4,4,480,120
31ADOWN,1016,non_peak_2,10,10,300,30
31ADOWN,1016,non_peak_3,5,5,180,36
31ADOWN,1016,peak_1,8,8,240,30
31ADOWN,1016,peak_2,8,8,240,30
31AUP,1017,non_peak_1,4,4,480,120
31AUP,1017,non_peak_2,10,10,300,30
31AUP,1017,non_peak_3,5,5,180,36
31AUP,1017,peak_1,8,8,240,30
31AUP,1017,peak_2,8,8,240,30
31DOWN,536,non_peak_2,2,2,300,150
31DOWN,536,peak_1,2,2,240,120
31DOWN,536,peak_2,1,1,240,240
31UP,537,non_peak_2,2,2,300,150
31UP,537,peak_1,2,2,240,120
31UP,537,peak_2,1,1,240,240
320DOWN,560,non_peak_2,3,3,300,100
320DOWN,560,peak_1,4,4,240,60
320DOWN,560,peak_2,4,4,240,60
320UP,561,non_peak_1,1,1,480,480
320UP,561,non_peak_2,4,4,300,75
320UP,561,peak_1,4,4,240,60
320UP,561,peak_2,2,2,240,120
321DOWN,562,non_peak_2,3,3,300,100
321DOWN,562,peak_1,6,6,240,40
321DOWN,562,peak_2,2,2,240,120
321UP,563,non_peak_2,3,3,300,100
321UP,563,peak_1,5,5,240,48
321UP,563,peak_2,3,3,240,80
322ADOWN,566,non_peak_1,3,3,480,160
322ADOWN,566,non_peak_2,6,6,300,50
322ADOWN,566,peak_1,5,5,240,48
322ADOWN,566,peak_2,3,3,240,80
322AUP,567,non_peak_1,1,1,480,480
322AUP,567,non_peak_2,5,5,300,60
322AUP,567,peak_1,6,6,240,40
322AUP,567,peak_2,5,5,240,48
322DOWN,564,non_peak_1,11,11,480,44
322DOWN,564,non_peak_2,15,15,300,20
322DOWN,564,non_peak_3,1,1,180,180
322DOWN,564,peak_1,13,13,240,19
322DOWN,564,peak_2,12,12,240,20
322UP,565,non_peak_1,5,5,480,96
322UP,565,non_peak_2,16,16,300,19
322UP,565,non_peak_3,5,5,180,36
322UP,565,peak_1,14,14,240,18
322UP,565,peak_2,12,12,240,20
323ADOWN,570,non_peak_1,1,1,480,480
323ADOWN,570,non_peak_2,2,2,300,150
323ADOWN,570,peak_1,2,2,240,120
323ADOWN,570,peak_2,1,1,240,240
323AUP,571,non_peak_1,1,1,480,480
323AUP,571,non_peak_2,2,2,300,150
323AUP,571,peak_1,1,1,240,240
323AUP,571,peak_2,2,2,240,120
323DOWN,568,non_peak_1,3,3,480,160
323DOWN,568,non_peak_2,10,10,300,30
323DOWN,568,peak_1,8,8,240,30
323DOWN,568,peak_2,7,7,240,35
323UP,569,non_peak_1,1,1,480,480
323UP,569,non_peak_2,10,10,300,30
323UP,569,non_peak_3,2,2,180,90
323UP,569,peak_1,8,8,240,30
323UP,569,peak_2,7,7,240,35
324DOWN,572,non_peak_1,4,4,480,120
324DOWN,572,non_peak_2,21,21,300,15
324DOWN,572,non_peak_3,4,4,180,45
324DOWN,572,peak_1,15,15,240,16
324DOWN,572,peak_2,14,14,240,18
324UP,573,non_peak_1,8,8,480,60
324UP,573,non_peak_2,21,21,300,15
324UP,573,non_peak_3,1,1,180,180
324UP,573,peak_1,16,16,240,15
324UP,573,peak_2,12,12,240,20
325DOWN,574,non_peak_1,2,2,480,240
325DOWN,574,non_peak_2,3,3,300,100
325DOWN,574,non_peak_3,1,1,180,180
325DOWN,574,peak_1,2,2,240,120
325DOWN,574,peak_2,2,2,240,120
325UP,575,non_peak_1,2,2,480,240
325UP,575,non_peak_2,3,3,300,100
325UP,575,peak_1,3,3,240,80
325UP,575,peak_2,2,2,240,120
326ADOWN,576,non_peak_1,3,3,480,160
326ADOWN,576,non_peak_2,3,3,300,100
326ADOWN,576,non_peak_3,1,1,180,180
326ADOWN,576,peak_1,2,2,240,120
326ADOWN,576,peak_2,2,2,240,120
326AUP,577,non_peak_1,2,2,480,240
326AUP,577,non_peak_2,3,3,300,100
326AUP,577,peak_1,2,2,240,120
326AUP,577,peak_2,3,3,240,80
326DOWN,578,non_peak_1,1,1,480,480
326DOWN,578,non_peak_2,3,3,300,100
326DOWN,578,non_peak_3,1,1,180,180
326DOWN,578,peak_1,2,2,240,120
326DOWN,578,peak_2,2,2,240,120
326UP,579,non_peak_1,2,2,480,240
326UP,579,non_peak_2,4,4,300,75
326UP,579,peak_1,2,2,240,120
326UP,579,peak_2,2,2,240,120
327ADOWN,580,non_peak_3,3,3,180,60
327AUP,581,non_peak_1,3,3,480,160
327BDOWN,582,non_peak_1,3,3,480,160
327BUP,583,non_peak_3,3,3,180,60
327DOWN,584,non_peak_1,3,3,480,160
327DOWN,584,non_peak_2,7,7,300,43
327DOWN,584,peak_1,6,6,240,40
327DOWN,584,peak_2,5,5,240,48
327UP,585,non_peak_1,3,3,480,160
327UP,585,non_peak_2,7,7,300,43
327UP,585,peak_1,6,6,240,40
327UP,585,peak_2,5,5,240,48
329ADOWN,1072,non_peak_1,4,4,480,120
329ADOWN,1072,non_peak_2,10,10,300,30
329ADOWN,1072,non_peak_3,5,5,180,36
329ADOWN,1072,peak_1,8,8,240,30
329ADOWN,1072,peak_2,8,8,240,30
329AUP,1073,non_peak_1,4,4,480,120
329AUP,1073,non_peak_2,10,10,300,30
329AUP,1073,non_peak_3,5,5,180,36
329AUP,1073,peak_1,8,8,240,30
329AUP,1073,peak_2,8,8,240,30
329DOWN,586,non_peak_1,3,3,480,160
329DOWN,586,non_peak_2,5,5,300,60
329DOWN,586,non_peak_3,2,2,180,90
329DOWN,586,peak_1,5,5,240,48
329DOWN,586,peak_2,5,5,240,48
329UP,587,non_peak_1,4,4,480,120
329UP,587,non_peak_2,6,6,300,50
329UP,587,non_peak_3,2,2,180,90
329UP,587,peak_1,4,4,240,60
329UP,587,peak_2,4,4,240,60
330DOWN,588,non_peak_2,2,2,300,150
330DOWN,588,peak_1,2,2,240,120
330DOWN,588,peak_2,2,2,240,120
330UP,589,non_peak_1,2,2,480,240
330UP,589,non_peak_2,1,1,300,300
330UP,589,peak_1,2,2,240,120
330UP,589,peak_2,1,1,240,240
331ADDOWN,598,non_peak_1,1,1,480,480
331ADOWN,590,non_peak_2,1,1,300,300
331ADOWN,590,peak_1,2,2,240,120
331ADOWN,590,peak_2,1,1,240,240
331ADUP,599,peak_2,1,1,240,240
331AUP,591,non_peak_1,1,1,480,480
331AUP,591,non_peak_2,1,1,300,300
331AUP,591,peak_1,1,1,240,240
331AUP,591,peak_2,1,1,240,240
331BDOWN,592,non_peak_1,1,1,480,480
331BDOWN,592,non_peak_2,1,1,300,300
331BDOWN,592,peak_1,1,1,240,240
331BDOWN,592,peak_2,1,1,240,240
331BUP,593,non_peak_2,1,1,300,300
331BUP,593,peak_1,2,2,240,120
331BUP,593,peak_2,1,1,240,240
331CDOWN,594,non_peak_3,2,2,180,90
331CDOWN,594,peak_2,1,1,240,240
331CUP,595,non_peak_1,2,2,480,240
331DOWN,596,non_peak_1,4,4,480,120
331DOWN,596,non_peak_2,21,21,300,15
331DOWN,596,non_peak_3,4,4,180,45
331DOWN,596,peak_1,16,16,240,15
331DOWN,596,peak_2,15,15,240,16
331UP,597,non_peak_1,7,7,480,69
331UP,597,non_peak_2,23,23,300,14
331UP,597,non_peak_3,3,3,180,60
331UP,597,peak_1,15,15,240,16
331UP,597,peak_2,14,14,240,18
332DOWN,600,non_peak_1,1,1,480,480
332DOWN,600,non_peak_2,2,2,300,150
332DOWN,600,peak_1,2,2,240,120
332DOWN,600,peak_2,2,2,240,120
332UP,601,non_peak_1,2,2,480,240
332UP,601,non_peak_2,1,1,300,300
332UP,601,peak_1,2,2,240,120
332UP,601,peak_2,2,2,240,120
333DOWN,602,non_peak_1,3,3,480,160
333DOWN,602,non_peak_2,7,7,300,43
333DOWN,602,non_peak_3,2,2,180,90
333DOWN,602,peak_1,6,6,240,40
333DOWN,602,peak_2,6,6,240,40
333UP,603,non_peak_1,5,5,480,96
333UP,603,non_peak_2,8,8,300,38
333UP,603,peak_1,6,6,240,40
333UP,603,peak_2,5,5,240,48
334DOWN,604,non_peak_1,2,2,480,240
334DOWN,604,peak_1,2,2,240,120
334DOWN,604,peak_2,2,2,240,120
334UP,605,non_peak_1,1,1,480,480
334UP,605,non_peak_2,1,1,300,300
334UP,605,peak_1,2,2,240,120
334UP,605,peak_2,2,2,240,120
335ADOWN,1074,non_peak_1,4,4,480,120
335ADOWN,1074,non_peak_2,10,10,300,30
335ADOWN,1074,non_peak_3,5,5,180,36
335ADOWN,1074,peak_1,8,8,240,30
335ADOWN,1074,peak_2,8,8,240,30
335AUP,1075,non_peak_1,4,4,480,120
335AUP,1075,non_peak_2,10,10,300,30
335AUP,1075,non_peak_3,5,5,180,36
335AUP,1075,peak_1,8,8,240,30
335AUP,1075,peak_2,8,8,240,30
335DOWN,606,non_peak_1,1,1,480,480
335DOWN,606,non_peak_2,2,2,300,150
335DOWN,606,non_peak_3,1,1,180,180
335DOWN,606,peak_1,2,2,240,120
335DOWN,606,peak_2,2,2,240,120
335UP,607,non_peak_1,2,2,480,240
335UP,607,non_peak_2,2,2,300,150
335UP,607,non_peak_3,1,1,180,180
335UP,607,peak_1,2,2,240,120
335UP,607,peak_2,1,1,240,240
336DOWN,608,non_peak_1,5,5,480,96
336DOWN,608,non_peak_2,10,10,300,30
336DOWN,608,non_peak_3,3,3,180,60
336DOWN,608,peak_1,10,10,240,24
336DOWN,608,peak_2,10,10,240,24
336UP,609,non_peak_1,6,6,480,80
336UP,609,non_peak_2,10,10,300,30
336UP,609,non_peak_3,2,2,180,90
336UP,609,peak_1,10,10,240,24
336UP,609,peak_2,10,10,240,24
337DOWN,610,non_peak_1,2,2,480,240
337DOWN,610,non_peak_2,2,2,300,150
337DOWN,610,peak_1,2,2,240,120
337DOWN,610,peak_2,1,1,240,240
337UP,611,non_peak_1,1,1,480,480
337UP,611,non_peak_2,3,3,300,100
337UP,611,non_peak_3,1,1,180,180
337UP,611,peak_1,1,1,240,240
337UP,611,peak_2,1,1,240,240
339DOWN,612,non_peak_1,2,2,480,240
339DOWN,612,non_peak_2,2,2,300,150
339DOWN,612,peak_1,1,1,240,240
339DOWN,612,peak_2,1,1,240,240
339UP,613,non_peak_1,1,1,480,480
339UP,613,non_peak_2,1,1,300,300
339UP,613,peak_1,2,2,240,120
339UP,613,peak_2,2,2,240,120
340DOWN,614,non_peak_1,2,2,480,240
340DOWN,614,non_peak_2,4,4,300,75
340DOWN,614,peak_1,4,4,240,60
340DOWN,614,peak_2,3,3,240,80
340UP,615,non_peak_1,3,3,480,160
340UP,615,non_peak_2,5,5,300,60
340UP,615,peak_1,3,3,240,80
340UP,615,peak_2,2,2,240,120
341DOWN,616,non_peak_1,1,1,480,480
341DOWN,616,non_peak_2,2,2,300,150
341DOWN,616,peak_1,2,2,240,120
341DOWN,616,peak_2,2,2,240,120
341UP,617,non_peak_1,2,2,480,240
341UP,617,non_peak_2,2,2,300,150
341UP,617,peak_1,1,1,240,240
341UP,617,peak_2,2,2,240,120
342DOWN,618,non_peak_1,1,1,480,480
342DOWN,618,non_peak_2,2,2,300,150
342DOWN,618,peak_1,1,1,240,240
342DOWN,618,peak_2,1,1,240,240
342UP,619,non_peak_1,1,1,480,480
342UP,619,non_peak_2,1,1,300,300
342UP,619,peak_1,2,2,240,120
342UP,619,peak_2,1,1,240,240
343ADOWN,622,non_peak_2,8,8,300,38
343ADOWN,622,non_peak_3,2,2,180,90
343ADOWN,622,peak_1,1,1,240,240
343ADOWN,622,peak_2,6,6,240,40
343AUP,623,non_peak_1,7,7,480,69
343AUP,623,non_peak_2,8,8,300,38
343BUP,624,non_peak_1,1,1,480,480
343BUP,624,non_peak_2,1,1,300,300
343CDOWN,625,non_peak_2,1,1,300,300
343CDOWN,625,peak_1,1,1,240,240
343DOWN,620,non_peak_1,4,4,480,120
343DOWN,620,non_peak_2,2,2,300,150
343DOWN,620,peak_1,11,11,240,22
343DOWN,620,peak_2,5,5,240,48
343UP,621,non_peak_2,2,2,300,150
343UP,621,peak_1,14,14,240,18
343UP,621,peak_2,8,8,240,30
344DOWN,626,non_peak_1,1,1,480,480
344DOWN,626,non_peak_2,3,3,300,100
344DOWN,626,peak_1,2,2,240,120
344DOWN,626,peak_2,1,1,240,240
