route_no,route_id,time_category,counts,counts_average,time_category_duration,frequency
13DOWN,97,peak_2,21,21,240,12
13MDOWN,129,non_peak_2,2,2,300,150
13MDOWN,129,peak_1,2,2,240,120
13MDOWN,129,peak_2,1,1,240,240
13MUP,130,non_peak_1,1,1,480,480
13MUP,130,non_peak_2,1,1,300,300
13MUP,130,peak_1,2,2,240,120
13MUP,130,peak_2,1,1,240,240
13UP,98,non_peak_1,12,12,480,40
13UP,98,non_peak_2,24,24,300,13
13UP,98,non_peak_3,6,6,180,30
13UP,98,peak_1,22,22,240,11
13UP,98,peak_2,20,20,240,12
140ADOWN,133,non_peak_2,2,2,300,150
140ADOWN,133,peak_1,1,1,240,240
140ADOWN,133,peak_2,1,1,240,240
140AUP,134,non_peak_2,1,1,300,300
140AUP,134,peak_1,2,2,240,120
140AUP,134,peak_2,1,1,240,240
140DOWN,131,non_peak_1,6,6,480,80
140DOWN,131,non_peak_2,23,23,300,14
140DOWN,131,non_peak_3,6,6,180,30
140DOWN,131,peak_1,18,18,240,14
140DOWN,131,peak_2,15,15,240,16
140UP,132,non_peak_1,10,10,480,48
140UP,132,non_peak_2,23,23,300,14
140UP,132,non_peak_3,3,3,180,60
140UP,132,peak_1,17,17,240,15
140UP,132,peak_2,15,15,240,16
141DOWN,135,non_peak_1,1,1,480,480
141DOWN,135,non_peak_2,3,3,300,100
141DOWN,135,peak_1,2,2,240,120
141DOWN,135,peak_2,2,2,240,120
141UP,136,non_peak_1,1,1,480,480
141UP,136,non_peak_2,2,2,300,150
141UP,136,peak_1,3,3,240,80
141UP,136,peak_2,2,2,240,120
142DOWN,137,non_peak_1,1,1,480,480
142DOWN,137,non_peak_2,2,2,300,150
142DOWN,137,peak_1,2,2,240,120
142DOWN,137,peak_2,2,2,240,120
142UP,138,non_peak_1,2,2,480,240
142UP,138,non_peak_2,2,2,300,150
142UP,138,peak_1,2,2,240,120
142UP,138,peak_2,1,1,240,240
143DOWN,139,non_peak_1,4,4,480,120
143DOWN,139,non_peak_2,8,8,300,38
143DOWN,139,non_peak_3,3,3,180,60
143DOWN,139,peak_1,7,7,240,35
143DOWN,139,peak_2,6,6,240,40
143UP,140,non_peak_1,6,6,480,80
143UP,140,non_peak_2,9,9,300,34
143UP,140,non_peak_3,1,1,180,180
143UP,140,peak_1,6,6,240,40
143UP,140,peak_2,6,6,240,40
144ACDOWN,145,non_peak_1,4,4,480,120
144ACDOWN,145,non_peak_2,10,10,300,30
144ACDOWN,145,non_peak_3,5,5,180,36
144ACDOWN,145,peak_1,8,8,240,30
144ACDOWN,145,peak_2,8,8,240,30
144ACUP,146,non_peak_1,4,4,480,120
144ACUP,146,non_peak_2,10,10,300,30
144ACUP,146,non_peak_3,5,5,180,36
144ACUP,146,peak_1,8,8,240,30
144ACUP,146,peak_2,8,8,240,30
144ADOWN,147,non_peak_1,1,1,480,480
144ADOWN,147,non_peak_2,2,2,300,150
144ADOWN,147,non_peak_3,1,1,180,180
144ADOWN,147,peak_1,1,1,240,240
144ADOWN,147,peak_2,1,1,240,240
