route_id,time_category,counts,counts_average,time_category_duration,frequency
142,non_peak_3,5,5,180,36
142,peak_1,8,8,240,30
142,peak_2,8,8,240,30
143,non_peak_1,4,4,480,120
143,non_peak_2,10,10,300,30
143,non_peak_3,5,5,180,36
143,peak_1,8,8,240,30
143,peak_2,8,8,240,30
144,non_peak_1,4,4,480,120
144,non_peak_2,10,10,300,30
144,non_peak_3,5,5,180,36
144,peak_1,8,8,240,30
144,peak_2,8,8,240,30
145,non_peak_1,4,4,480,120
145,non_peak_2,10,10,300,30
145,non_peak_3,5,5,180,36
145,peak_1,8,8,240,30
145,peak_2,8,8,240,30
146,non_peak_1,4,4,480,120
146,non_peak_2,10,10,300,30
146,non_peak_3,5,5,180,36
146,peak_1,8,8,240,30
146,peak_2,8,8,240,30
147,non_peak_1,4,4,480,120
147,non_peak_2,10,10,300,30
147,non_peak_3,5,5,180,36
147,peak_1,8,8,240,30
147,peak_2,8,8,240,30
148,non_peak_1,4,4,480,120
148,non_peak_2,10,10,300,30
148,non_peak_3,5,5,180,36
148,peak_1,8,8,240,30
148,peak_2,8,8,240,30
149,non_peak_1,4,4,480,120
149,non_peak_2,10,10,300,30
149,non_peak_3,5,5,180,36
149,peak_1,8,8,240,30
149,peak_2,8,8,240,30
150,non_peak_1,4,4,480,120
150,non_peak_2,10,10,300,30
150,non_peak_3,5,5,180,36
150,peak_1,8,8,240,30
150,peak_2,8,8,240,30
151,non_peak_1,4,4,480,120
151,non_peak_2,10,10,300,30
151,non_peak_3,5,5,180,36
151,peak_1,8,8,240,30
151,peak_2,8,8,240,30
152,non_peak_1,4,4,480,120
152,non_peak_2,10,10,300,30
152,non_peak_3,5,5,180,36
152,peak_1,8,8,240,30
152,peak_2,8,8,240,30
153,non_peak_1,4,4,480,120
153,non_peak_2,10,10,300,30
153,non_peak_3,5,5,180,36
153,peak_1,8,8,240,30
153,peak_2,8,8,240,30
154,non_peak_1,4,4,480,120
154,non_peak_2,10,10,300,30
154,non_peak_3,5,5,180,36
154,peak_1,8,8,240,30
154,peak_2,8,8,240,30
155,non_peak_1,4,4,480,120
155,non_peak_2,10,10,300,30
155,non_peak_3,5,5,180,36
155,peak_1,8,8,240,30
155,peak_2,8,8,240,30
156,non_peak_1,4,4,480,120
156,non_peak_2,10,10,300,30
156,non_peak_3,5,5,180,36
156,peak_1,8,8,240,30
156,peak_2,8,8,240,30
157,non_peak_1,4,4,480,120
157,non_peak_2,10,10,300,30
157,non_peak_3,5,5,180,36
157,peak_1,8,8,240,30
157,peak_2,8,8,240,30
158,non_peak_1,4,4,480,120
158,non_peak_2,10,10,300,30
158,non_peak_3,5,5,180,36
158,peak_1,8,8,240,30
158,peak_2,8,8,240,30
159,non_peak_1,4,4,480,120
159,non_peak_2,10,10,300,30
159,non_peak_3,5,5,180,36
159,peak_1,8,8,240,30
159,peak_2,8,8,240,30
160,non_peak_1,4,4,480,120
160,non_peak_2,10,10,300,30
160,non_peak_3,5,5,180,36
160,peak_1,8,8,240,30
160,peak_2,8,8,240,30
161,non_peak_1,4,4,480,120
161,non_peak_2,10,10,300,30
161,non_peak_3,5,5,180,36
161,peak_1,8,8,240,30
161,peak_2,8,8,240,30
162,non_peak_1,4,4,480,120
162,non_peak_2,10,10,300,30
162,non_peak_3,5,5,180,36
162,peak_1,8,8,240,30
162,peak_2,8,8,240,30
163,non_peak_1,4,4,480,120
163,non_peak_2,10,10,300,30
163,non_peak_3,5,5,180,36
163,peak_1,8,8,240,30
163,peak_2,8,8,240,30
164,non_peak_1,4,4,480,120
164,non_peak_2,10,10,300,30
164,non_peak_3,5,5,180,36
164,peak_1,8,8,240,30
164,peak_2,8,8,240,30
165,non_peak_1,4,4,480,120
165,non_peak_2,10,10,300,30
165,non_peak_3,5,5,180,36
165,peak_1,8,8,240,30
165,peak_2,8,8,240,30
166,non_peak_1,26,26,480,19
166,non_peak_2,50,50,300,6
166,non_peak_3,7,7,180,26
166,peak_1,43,43,240,6
166,peak_2,36,36,240,7
167,non_peak_1,25,25,480,20
167,non_peak_2,50,50,300,6
167,non_peak_3,6,6,180,30
167,peak_1,41,41,240,6
167,peak_2,51,51,240,5
